n-slice;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
1;1.3237690925598145;365;500;0.28515480298898005;0.8885416666666776;0.30471736141158734;0.1178082191780822;0.01643835616438356;0.00821917808219178;0.057534246575342465;0.1643835616438356;0.6356164383561644;0.06427503736920777;0.008968609865470852;0.005979073243647235;0.04035874439461883;0.18535127055306427;0.695067264573991;0.08317214700193423;0.011605415860735008;0.006922411306605134;0.047439759036144585;0.17423887587822015;0.6640138120781823
2;1.0090270042419434;200;500;0.21014829976416766;0.7864583333333419;0.22199095157869092;0.23;0.02;0.005;0.045;0.11;0.59;0.0687593423019432;0.0029895366218236174;0.0;0.014947683109118086;0.07025411061285501;0.8430493273542601;0.1058688147295742;0.005201560468140442;0.0;0.02244109213315048;0.08574508665726843;0.6941828081484493
3;1.0205938816070557;200;500;0.21014829976416766;0.7864583333333419;0.22199095157869092;0.23;0.02;0.005;0.045;0.11;0.59;0.0687593423019432;0.0029895366218236174;0.0;0.014947683109118086;0.07025411061285501;0.8430493273542601;0.1058688147295742;0.005201560468140442;0.0;0.02244109213315048;0.08574508665726843;0.6941828081484493
4;0.9494318962097168;201;500;0.20913210238081212;0.7875000000000086;0.2220615032069093;0.22885572139303484;0.024875621890547265;0.004975124378109453;0.03980099502487562;0.10945273631840796;0.5920398009950248;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07025411061285501;0.8430493273542601;0.10574712643678161;0.007598784194528876;0.0;0.02010892333472979;0.08557831574591351;0.6955926933540613
5;1.0117440223693848;201;500;0.21099452751862677;0.7916666666666754;0.225091755219831;0.22885572139303484;0.024875621890547265;0.004975124378109453;0.03980099502487562;0.10945273631840796;0.5920398009950248;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07025411061285501;0.8430493273542601;0.10574712643678161;0.007598784194528876;0.0;0.02010892333472979;0.08557831574591351;0.6955926933540613
6;0.9749269485473633;200;500;0.20573774457289035;0.7916666666666754;0.225091755219831;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07025411061285501;0.8430493273542601;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08574508665726843;0.6941828081484493
7;1.1696419715881348;200;500;0.20574628244699195;0.789583333333342;0.2251082447994172;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07025411061285501;0.8430493273542601;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08574508665726843;0.6941828081484493
8;1.024158000946045;201;500;0.20788946820199683;0.789583333333342;0.22292169511054521;0.22885572139303484;0.024875621890547265;0.004975124378109453;0.03980099502487562;0.11442786069651742;0.5870646766169154;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07473841554559044;0.8385650224215246;0.10574712643678161;0.007598784194528876;0.0;0.02010892333472979;0.0904194677045249;0.6906308195489899
9;1.0250449180603027;201;500;0.20806116480461453;0.7927083333333421;0.22345879689764703;0.22885572139303484;0.024875621890547265;0.004975124378109453;0.03980099502487562;0.11442786069651742;0.5870646766169154;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07473841554559044;0.8385650224215246;0.10574712643678161;0.007598784194528876;0.0;0.02010892333472979;0.0904194677045249;0.6906308195489899
10;1.0390210151672363;200;500;0.2077053159433309;0.7916666666666754;0.22290208393468405;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
